ad_id,objective,publisher_platform,age,gender,action_type,stat,amount
23855304730780403,,,35-44,female,video_view,value,7.0
23855304730780403,,,45-54,female,video_view,value,6.0
23855493429440403,OUTCOME_SALES,facebook,,,video_view,value,5.0
23855493429440403,OUTCOME_SALES,instagram,,,video_view,value,3.0
23855493429440403,,,18-24,female,video_view,value,1.0
23855493429440403,,,25-34,female,video_view,value,3.0
23855493429440403,,,35-44,female,video_view,value,2.0
23855493429440403,,,45-54,female,video_view,value,2.0
23855854784680403,OUTCOME_SALES,facebook,,,video_view,7d_click,2.0
23855854784680403,OUTCOME_SALES,facebook,,,video_view,value,26.0
23855854784680403,,,18-24,female,video_view,value,1.0
23855854784680403,,,25-34,female,video_view,value,9.0
23855854784680403,,,35-44,female,video_view,value,6.0
23855854784680403,,,45-54,female,video_view,7d_click,2.0
23855854784680403,,,45-54,female,video_view,value,11.0
23855855305210403,OUTCOME_SALES,facebook,,,video_view,7d_click,0.0
23855855305210403,OUTCOME_SALES,facebook,,,video_view,value,24.0
23855855305210403,OUTCOME_SALES,instagram,,,video_view,value,1.0
23855855305210403,,,18-24,female,video_view,value,1.0
23855855305210403,,,25-34,female,video_view,value,14.0
23855855305210403,,,35-44,female,video_view,value,4.0
23855855305210403,,,45-54,female,video_view,value,7.0
120203641856860404,OUTCOME_SALES,audience_network,,,video_view,value,69.0
120203641856860404,OUTCOME_SALES,facebook,,,video_view,7d_click,901.0
120203641856860404,OUTCOME_SALES,facebook,,,video_view,value,26500.0
120203641856860404,OUTCOME_SALES,instagram,,,video_view,7d_click,41.0
120203641856860404,OUTCOME_SALES,instagram,,,video_view,value,74724.0
120203641856860404,,,18-24,female,video_view,7d_click,19.0
120203641856860404,,,18-24,female,video_view,value,187.0
120203641856860404,,,18-24,male,video_view,value,37.0
120203641856860404,,,18-24,unknown,video_view,value,7.0
120203641856860404,,,25-34,female,video_view,7d_click,12.0
120203641856860404,,,25-34,female,video_view,value,2273.0
120203641856860404,,,25-34,male,video_view,value,113.0
120203641856860404,,,25-34,unknown,video_view,value,30.0
120203641856860404,,,35-44,female,video_view,7d_click,20.0
120203641856860404,,,35-44,female,video_view,value,10054.0
120203641856860404,,,35-44,male,video_view,7d_click,2.0
120203641856860404,,,35-44,male,video_view,value,283.0
120203641856860404,,,35-44,unknown,video_view,7d_click,1.0
120203641856860404,,,35-44,unknown,video_view,value,303.0
